starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 08 23:24:13 2023	1699475053	0	8	8	7
Wed Nov 08 23:24:02 2023	1699475042	0	8	8	8
Wed Nov 08 23:24:13 2023	1699475053	0	8	8	7
Wed Nov 08 23:23:02 2023	1699474982	0	8	8	7
Wed Nov 08 23:22:48 2023	1699474968	0	8	8	7
Wed Nov 08 23:24:03 2023	1699475043	0	8	8	7
Wed Nov 08 23:22:54 2023	1699474974	0	8	8	8
Wed Nov 08 23:24:15 2023	1699475055	0	8	8	7
Wed Nov 08 23:23:04 2023	1699474984	0	8	8	8
Wed Nov 08 23:24:06 2023	1699475046	0	8	8	7
Wed Nov 08 23:24:12 2023	1699475052	0	8	8	7
Wed Nov 08 23:24:16 2023	1699475056	0	8	8	8
Wed Nov 08 23:23:13 2023	1699474993	0	8	8	7
Wed Nov 08 23:24:03 2023	1699475043	0	8	8	7
Wed Nov 08 23:24:15 2023	1699475055	0	8	8	7
Wed Nov 08 23:24:11 2023	1699475051	0	8	8	7
Wed Nov 08 23:23:54 2023	1699475034	0	8	8	8
Wed Nov 08 23:23:37 2023	1699475017	0	8	8	7
Wed Nov 08 23:23:17 2023	1699474997	0	8	8	7
Wed Nov 08 23:23:06 2023	1699474986	0	8	8	8
Wed Nov 08 23:23:43 2023	1699475023	0	8	8	6
Wed Nov 08 23:23:01 2023	1699474981	0	8	8	8
Wed Nov 08 23:23:04 2023	1699474984	0	8	8	7
Wed Nov 08 23:23:13 2023	1699474993	0	8	8	8
Wed Nov 08 23:23:49 2023	1699475029	0	8	8	8
Wed Nov 08 23:24:14 2023	1699475054	0	8	8	7
Wed Nov 08 23:23:27 2023	1699475007	0	8	8	8
Wed Nov 08 23:24:08 2023	1699475048	0	8	8	7
Wed Nov 08 23:23:13 2023	1699474993	0	8	8	7
Wed Nov 08 23:24:15 2023	1699475055	0	8	8	7
Wed Nov 08 23:22:56 2023	1699474976	0	8	8	8
Wed Nov 08 23:22:59 2023	1699474979	0	8	8	8
Wed Nov 08 23:22:50 2023	1699474970	0	8	8	7
Wed Nov 08 23:24:03 2023	1699475043	0	8	8	7
Wed Nov 08 23:23:07 2023	1699474987	0	8	8	8
Wed Nov 08 23:22:49 2023	1699474969	0	8	8	7
Wed Nov 08 23:23:58 2023	1699475038	0	8	8	8
Wed Nov 08 23:22:46 2023	1699474966	0	8	8	7
Wed Nov 08 23:23:53 2023	1699475033	0	8	8	7
Wed Nov 08 23:24:13 2023	1699475053	0	8	8	7
Wed Nov 08 23:23:34 2023	1699475014	0	8	8	7
Wed Nov 08 23:24:07 2023	1699475047	0	8	8	8
Wed Nov 08 23:24:11 2023	1699475051	0	8	8	7
Wed Nov 08 23:22:50 2023	1699474970	0	8	8	7
Wed Nov 08 23:24:01 2023	1699475041	0	8	8	8
Wed Nov 08 23:23:03 2023	1699474983	0	8	8	7
Wed Nov 08 23:24:04 2023	1699475044	0	8	8	7
Wed Nov 08 23:22:58 2023	1699474978	0	8	8	7
Wed Nov 08 23:22:58 2023	1699474978	0	8	8	7
Wed Nov 08 23:23:25 2023	1699475005	0	8	8	8
Wed Nov 08 23:23:08 2023	1699474988	0	8	8	8
Wed Nov 08 23:22:56 2023	1699474976	0	8	8	7
Wed Nov 08 23:23:45 2023	1699475025	0	8	8	8
Wed Nov 08 23:23:02 2023	1699474982	0	8	8	8
Wed Nov 08 23:23:08 2023	1699474988	0	8	8	8
Wed Nov 08 23:22:57 2023	1699474977	0	8	8	8
Wed Nov 08 23:24:08 2023	1699475048	0	8	8	8
Wed Nov 08 23:23:51 2023	1699475031	0	8	8	8
Wed Nov 08 23:24:09 2023	1699475049	0	8	8	7
Wed Nov 08 23:23:24 2023	1699475004	0	8	8	7
Wed Nov 08 23:23:46 2023	1699475026	0	8	8	6
Wed Nov 08 23:23:30 2023	1699475010	0	8	8	7
Wed Nov 08 23:23:20 2023	1699475000	0	8	8	8
Wed Nov 08 23:23:43 2023	1699475023	0	8	8	8
Wed Nov 08 23:23:08 2023	1699474988	0	8	8	7
Wed Nov 08 23:24:05 2023	1699475045	0	8	8	8
Wed Nov 08 23:24:11 2023	1699475051	0	8	8	8
Wed Nov 08 23:23:46 2023	1699475026	0	8	8	8
Wed Nov 08 23:22:46 2023	1699474966	0	8	8	8
Wed Nov 08 23:22:48 2023	1699474968	0	8	8	8
Wed Nov 08 23:23:45 2023	1699475025	0	8	8	7
Wed Nov 08 23:22:47 2023	1699474967	0	8	8	8
Wed Nov 08 23:23:01 2023	1699474981	0	8	8	8
Wed Nov 08 23:24:01 2023	1699475041	0	8	8	8
Wed Nov 08 23:23:01 2023	1699474981	0	8	8	8
Wed Nov 08 23:23:04 2023	1699474984	0	8	8	8
Wed Nov 08 23:24:10 2023	1699475050	0	8	8	8
Wed Nov 08 23:23:04 2023	1699474984	0	8	8	8
Wed Nov 08 23:24:07 2023	1699475047	0	8	8	8
Wed Nov 08 23:23:34 2023	1699475014	0	8	8	8
Wed Nov 08 23:24:04 2023	1699475044	0	8	8	7
Wed Nov 08 23:23:25 2023	1699475005	0	8	8	8
Wed Nov 08 23:23:01 2023	1699474981	0	8	8	8
Wed Nov 08 23:22:57 2023	1699474977	0	8	8	7
Wed Nov 08 23:22:51 2023	1699474971	0	8	8	8
Wed Nov 08 23:22:53 2023	1699474973	0	8	8	7
Wed Nov 08 23:23:12 2023	1699474992	0	8	8	8
Wed Nov 08 23:23:58 2023	1699475038	0	8	8	8
Wed Nov 08 23:24:15 2023	1699475055	0	8	8	8
Wed Nov 08 23:23:40 2023	1699475020	0	8	8	7
Wed Nov 08 23:24:08 2023	1699475048	0	8	8	8
Wed Nov 08 23:22:55 2023	1699474975	0	8	8	8
Wed Nov 08 23:24:12 2023	1699475052	0	8	8	8
Wed Nov 08 23:22:53 2023	1699474973	0	8	8	8
Wed Nov 08 23:24:12 2023	1699475052	0	8	8	8
Wed Nov 08 23:24:16 2023	1699475056	0	8	8	7
Wed Nov 08 23:24:15 2023	1699475055	0	8	8	8
Wed Nov 08 23:24:02 2023	1699475042	0	8	8	8
Wed Nov 08 23:23:58 2023	1699475038	0	8	8	8
Wed Nov 08 23:24:13 2023	1699475053	0	8	8	8
Wed Nov 08 23:23:10 2023	1699474990	0	8	8	7
Wed Nov 08 23:24:07 2023	1699475047	0	8	8	8
Wed Nov 08 23:23:32 2023	1699475012	0	8	8	8
Wed Nov 08 23:22:46 2023	1699474966	0	8	8	7
Wed Nov 08 23:23:46 2023	1699475026	0	8	8	8
Wed Nov 08 23:23:34 2023	1699475014	0	8	8	8
Wed Nov 08 23:24:12 2023	1699475052	0	8	8	8
Wed Nov 08 23:24:06 2023	1699475046	0	8	8	8
Wed Nov 08 23:23:06 2023	1699474986	0	8	8	8
Wed Nov 08 23:23:07 2023	1699474987	0	8	8	8
Wed Nov 08 23:23:33 2023	1699475013	0	8	8	8
Wed Nov 08 23:24:07 2023	1699475047	0	8	8	8
Wed Nov 08 23:23:51 2023	1699475031	0	8	8	8
Wed Nov 08 23:24:05 2023	1699475045	0	8	8	8
Wed Nov 08 23:23:57 2023	1699475037	0	8	8	7
Wed Nov 08 23:23:58 2023	1699475038	0	8	8	8
Wed Nov 08 23:22:59 2023	1699474979	0	8	8	8
Wed Nov 08 23:24:11 2023	1699475051	0	8	8	8
Wed Nov 08 23:24:08 2023	1699475048	0	8	8	8
Wed Nov 08 23:24:17 2023	1699475057	0	8	8	8
Wed Nov 08 23:23:07 2023	1699474987	0	8	8	7
Wed Nov 08 23:23:12 2023	1699474992	0	8	8	8
Wed Nov 08 23:22:50 2023	1699474970	0	8	8	8
Wed Nov 08 23:24:07 2023	1699475047	0	8	8	8
Wed Nov 08 23:24:00 2023	1699475040	0	8	8	8
Wed Nov 08 23:23:38 2023	1699475018	0	8	8	8
Wed Nov 08 23:22:48 2023	1699474968	0	8	8	8
Wed Nov 08 23:23:59 2023	1699475039	0	8	8	8
Wed Nov 08 23:24:17 2023	1699475057	0	8	8	8
Wed Nov 08 23:23:42 2023	1699475022	0	8	8	8
Wed Nov 08 23:24:17 2023	1699475057	0	8	8	8
Wed Nov 08 23:22:56 2023	1699474976	0	8	8	8
Wed Nov 08 23:23:56 2023	1699475036	0	8	8	7
Wed Nov 08 23:22:48 2023	1699474968	0	8	8	8
Wed Nov 08 23:23:59 2023	1699475039	0	8	8	8
Wed Nov 08 23:24:03 2023	1699475043	0	8	8	8
Wed Nov 08 23:24:07 2023	1699475047	0	8	8	8
Wed Nov 08 23:23:13 2023	1699474993	0	8	8	8
Wed Nov 08 23:24:03 2023	1699475043	0	8	8	8
Wed Nov 08 23:23:33 2023	1699475013	0	8	8	8
Wed Nov 08 23:22:52 2023	1699474972	0	8	8	8
Wed Nov 08 23:23:37 2023	1699475017	0	8	8	8
Wed Nov 08 23:22:49 2023	1699474969	0	8	8	8
Wed Nov 08 23:23:54 2023	1699475034	0	8	9	8
Wed Nov 08 23:23:57 2023	1699475037	0	8	9	8
Wed Nov 08 23:23:06 2023	1699474986	0	8	9	8
Wed Nov 08 23:24:00 2023	1699475040	0	8	9	8
Wed Nov 08 23:23:56 2023	1699475036	0	8	9	8
Wed Nov 08 23:24:04 2023	1699475044	0	8	9	8
Wed Nov 08 23:23:48 2023	1699475028	0	8	9	8
Wed Nov 08 23:24:16 2023	1699475056	0	8	9	8
Wed Nov 08 23:24:15 2023	1699475055	0	8	9	8
Wed Nov 08 23:22:59 2023	1699474979	0	8	9	8
Wed Nov 08 23:23:12 2023	1699474992	0	8	9	8
Wed Nov 08 23:24:12 2023	1699475052	0	8	9	8
Wed Nov 08 23:23:53 2023	1699475033	0	8	9	7
Wed Nov 08 23:23:51 2023	1699475031	0	8	9	8
Wed Nov 08 23:23:43 2023	1699475023	0	8	9	7
Wed Nov 08 23:23:04 2023	1699474984	0	8	9	8
Wed Nov 08 23:23:46 2023	1699475026	0	9	9	7
Wed Nov 08 23:23:58 2023	1699475038	0	9	9	8
Wed Nov 08 23:24:01 2023	1699475041	0	9	9	8
Wed Nov 08 23:24:02 2023	1699475042	0	9	9	8
Wed Nov 08 23:24:09 2023	1699475049	0	9	9	9
Wed Nov 08 23:23:06 2023	1699474986	0	8	9	8
Wed Nov 08 23:23:42 2023	1699475022	0	8	9	8
Wed Nov 08 23:22:47 2023	1699474967	0	9	9	9
Wed Nov 08 23:22:48 2023	1699474968	0	9	9	8
Wed Nov 08 23:22:47 2023	1699474967	0	9	9	9
Wed Nov 08 23:22:54 2023	1699474974	0	9	9	8
Wed Nov 08 23:23:59 2023	1699475039	0	9	9	9
Wed Nov 08 23:23:34 2023	1699475014	0	9	9	8
Wed Nov 08 23:23:25 2023	1699475005	0	9	9	8
Wed Nov 08 23:23:19 2023	1699474999	0	9	9	8
Wed Nov 08 23:23:25 2023	1699475005	0	9	9	8
Wed Nov 08 23:22:57 2023	1699474977	0	9	9	8
Wed Nov 08 23:24:00 2023	1699475040	0	9	9	8
Wed Nov 08 23:24:03 2023	1699475043	0	9	9	9
Wed Nov 08 23:23:19 2023	1699474999	0	9	9	7
Wed Nov 08 23:23:03 2023	1699474983	0	9	9	9
Wed Nov 08 23:23:40 2023	1699475020	0	9	9	9
Wed Nov 08 23:23:22 2023	1699475002	0	9	9	8
Wed Nov 08 23:24:07 2023	1699475047	0	9	9	9
Wed Nov 08 23:23:23 2023	1699475003	0	9	9	8
Wed Nov 08 23:24:07 2023	1699475047	0	9	9	8
